item;sourceFile;imageFile;sku;blingId;blingName;displayName;variationLabel;status
119;ChatGPT Image 3 de jul. de 2026, 13_02_31 (2).png;119-spray-tinta-para-cabelo-com-opcoes-de-cor-3104000000823-roxo.png;3104000000823;16516663314;SPRAY TINTA CABELO;Spray Tinta para Cabelo com Opcoes de Cor;Roxo;APLICADO_LOCAL_COM_VARIACAO
120;ChatGPT Image 3 de jul. de 2026, 13_02_31 (3).png;120-spray-tinta-para-cabelo-com-opcoes-de-cor-3104000000823-amarelo.png;3104000000823;16516663314;SPRAY TINTA CABELO;Spray Tinta para Cabelo com Opcoes de Cor;Amarelo;APLICADO_LOCAL_COM_VARIACAO
121;ChatGPT Image 3 de jul. de 2026, 13_02_32 (4).png;121-spray-tinta-para-cabelo-com-opcoes-de-cor-3104000000823-preto.png;3104000000823;16516663314;SPRAY TINTA CABELO;Spray Tinta para Cabelo com Opcoes de Cor;Preto;APLICADO_LOCAL_COM_VARIACAO
122;ChatGPT Image 3 de jul. de 2026, 13_02_32 (5).png;122-spray-tinta-para-cabelo-com-opcoes-de-cor-3104000000823-vermelho.png;3104000000823;16516663314;SPRAY TINTA CABELO;Spray Tinta para Cabelo com Opcoes de Cor;Vermelho;APLICADO_LOCAL_COM_VARIACAO
123;ChatGPT Image 3 de jul. de 2026, 13_02_32 (6).png;123-spray-tinta-para-cabelo-com-opcoes-de-cor-3104000000823-azul.png;3104000000823;16516663314;SPRAY TINTA CABELO;Spray Tinta para Cabelo com Opcoes de Cor;Azul;APLICADO_LOCAL_COM_VARIACAO
124;ChatGPT Image 3 de jul. de 2026, 13_02_33 (7).png;124-spray-tinta-para-cabelo-com-opcoes-de-cor-3104000000823-verde.png;3104000000823;16516663314;SPRAY TINTA CABELO;Spray Tinta para Cabelo com Opcoes de Cor;Verde;APLICADO_LOCAL_COM_VARIACAO
125;ChatGPT Image 3 de jul. de 2026, 13_02_33 (8).png;125-spray-tinta-para-cabelo-com-opcoes-de-cor-3104000000823-branco.png;3104000000823;16516663314;SPRAY TINTA CABELO;Spray Tinta para Cabelo com Opcoes de Cor;Branco;APLICADO_LOCAL_COM_VARIACAO
126;ChatGPT Image 3 de jul. de 2026, 13_02_34 (9).png;126-spray-tinta-para-cabelo-com-opcoes-de-cor-3104000000823-rosa.png;3104000000823;16516663314;SPRAY TINTA CABELO;Spray Tinta para Cabelo com Opcoes de Cor;Rosa;APLICADO_LOCAL_COM_VARIACAO
127;ChatGPT Image 3 de jul. de 2026, 13_02_35 (10).png;127-spray-tinta-para-cabelo-com-opcoes-de-cor-3104000000823-prata.png;3104000000823;16516663314;SPRAY TINTA CABELO;Spray Tinta para Cabelo com Opcoes de Cor;Prata;APLICADO_LOCAL_COM_VARIACAO
144;ChatGPT Image 3 de jul. de 2026, 13_04_32 (3).png;144-papel-de-parede-adesivo-com-opcoes-de-estampa-3104000004403-estampa-geometrica.png;3104000004403;16653374501;PAPEL DE PAREDE 45CM X 5M;Papel de Parede Adesivo com Opcoes de Estampa;Estampa geométrica;APLICADO_LOCAL_COM_VARIACAO
146;ChatGPT Image 3 de jul. de 2026, 13_04_33 (4).png;146-papel-de-parede-adesivo-com-opcoes-de-estampa-3104000004403-estampa-decorativa.png;3104000004403;16653374501;PAPEL DE PAREDE 45CM X 5M;Papel de Parede Adesivo com Opcoes de Estampa;Estampa decorativa;APLICADO_LOCAL_COM_VARIACAO
147;ChatGPT Image 3 de jul. de 2026, 13_04_33 (5).png;147-papel-de-parede-adesivo-com-opcoes-de-estampa-3104000004403-estampa-madeira.png;3104000004403;16653374501;PAPEL DE PAREDE 45CM X 5M;Papel de Parede Adesivo com Opcoes de Estampa;Estampa madeira;APLICADO_LOCAL_COM_VARIACAO
148;ChatGPT Image 3 de jul. de 2026, 13_04_33 (6).png;148-papel-de-parede-adesivo-com-opcoes-de-estampa-3104000004403-estampa-clara.png;3104000004403;16653374501;PAPEL DE PAREDE 45CM X 5M;Papel de Parede Adesivo com Opcoes de Estampa;Estampa clara;APLICADO_LOCAL_COM_VARIACAO
