nome,sku,blingId,arquivo_imagem,fonte,status_imagem
"BEIJO FRESH","3104000004810","16667060383","","SEM_IMAGEM","OCULTO"
"GEL MASSAGEM SEMPRE VIRGEM","3104000004788","16666992748","","SEM_IMAGEM","OCULTO"
"MASTURBADOR CAPSULE SEXY CINZA","3104000004786","16666982555","","SEM_IMAGEM","OCULTO"
"MASTURBADOR CAPSULE SEXY AZUL","3104000004781","16666982552","","SEM_IMAGEM","OCULTO"
"MASTURBADOR CAPSULE SEXY VERDE","3104000004784","16666982551","","SEM_IMAGEM","OCULTO"
"MASTURBADOR CAPSULE SEXY ROSA","3104000004783","16666982550","","SEM_IMAGEM","OCULTO"
"MASTURBADOR CAPSULE SEXY LARANJA","3104000004785","16666982548","","SEM_IMAGEM","OCULTO"
"MASTURBADOR CAPSULE SEXY ROXO","3104000004782","16666982546","","SEM_IMAGEM","OCULTO"
"KGEL LUBRIFICANTE TRADICIONAL","3104000004777","16666904242","","SEM_IMAGEM","OCULTO"
"GEL RAPIDINHA CHICLETE","3104000004776","16666903436","","SEM_IMAGEM","OCULTO"
"LOVE LUB HOT","3104000004775","16666902981","","SEM_IMAGEM","OCULTO"
"LOVE LUB","","16666902539","","SEM_IMAGEM","OCULTO"
"LUBRIFICANTE BABBALOO MENTA","3104000004773","16666565575","","SEM_IMAGEM","OCULTO"
"LUBRIFICANTE BABBALOO MENTA ICE","3104000004772","16666565571","","SEM_IMAGEM","OCULTO"
"LUBRIFICANTE BABBALOO MORANGO","3104000004771","16666565564","","SEM_IMAGEM","OCULTO"
"LUBRIFICANTE BABBALOO MELANCIA","3104000004770","16666565558","","SEM_IMAGEM","OCULTO"
"LUBRIFICANTE BABBALOO TUTTI-FRUIT","3104000004774","16666565555","","SEM_IMAGEM","OCULTO"
"LUBRIFICANTE BABBALOO","","16666564297","","SEM_IMAGEM","OCULTO"
"MINI BULLET DUPLO ROSA PONTA FINA","3104000004760","16666357069","mini-bullet-rosa-ponta-fina.png","ID_OK","VISIVEL"
"MINI BULLET DUPLO VIBRADOR ROSA","3104000004759","16666356242","mini-bullet-duplo-rosa.png","ID_OK","VISIVEL"
"MINI BULLET DUPLO LINGUINHA ROXO","3104000004758","16666355912","mini-bullet-duplo-linguinha-roxo-3104000004758.jpg","ID_OK","VISIVEL"
"MINI BULLET DUPLO SUGADOR ROSA","3104000004757","16666355542","","SEM_IMAGEM","OCULTO"
"VIBRADOR SEXY CONTROLE PRETO","3104000004756","16666351847","vibrador-sexy-controle-preto-3104000004756.jpg","ID_OK","VISIVEL"
"VIBRADOR SEXY CONTROLE ROSA","3104000004755","16666351572","vibrador-sexy-controle-rosa-3104000004755.jpg","ID_OK","VISIVEL"
"VIBRADOR SEXY CONTROLE MARROM","3104000004754","16666351358","vibrador-sexy-controle-marrom-3104000004754.jpg","ID_OK","VISIVEL"
"VIBRADOR SEXY CONTROLE BRANCO","3104000004753","16666351227","vibrador-sexy-controle-branco-3104000004753.jpg","ID_OK","VISIVEL"
"VIBRADOR SEXY CONTROLE VERMELHO","3104000004752","16666350309","vibrador-sexy-controle-vermelho-3104000004752.jpg","ID_OK","VISIVEL"
"VIBRADOR GOLFINHO ROSA","3104000004751","16666349946","vibrador-golfinho-rosa.png","ID_OK","VISIVEL"
"MINI VIBRADOR SEXY","3104000004750","16666345310","mini-vibrador-sexy-3104000004750.jpg","ID_OK","VISIVEL"
"ANEL PENIANO SEXY URSINHO PRETO","3104000004749","16666344865","","SEM_IMAGEM","OCULTO"
"ANEL PENIANO SEXY URSINHO TRANSP.","3104000004748","16666344667","","SEM_IMAGEM","OCULTO"
"ANEL PENIANO SEXY BOLINHA TRANSP.","3104000004747","16666344242","","SEM_IMAGEM","OCULTO"
"ANEL PENIANO SEXY BOLINHA ROSA","3104000004746","16666344004","","SEM_IMAGEM","OCULTO"
"ANEL PENIANO SEXY BOLINHA PRETO","3104000004745","16666343091","","SEM_IMAGEM","OCULTO"
